"city","date","death","temp","dewpoint","pm10","o3","time","season"
"chic",1987-01-01,130,31.5,31.5,27.791194372,4.025928087,1,"winter"
"chic",1987-01-02,150,33,29.875,NA,4.579652287,2,"winter"
"chic",1987-01-03,101,33,27.375,33.67381559,3.400928087,3,"winter"
"chic",1987-01-04,135,29,28.625,40.7911943722,3.942594747,4,"winter"
"chic",1987-01-05,126,32,28.875,NA,4.400928087,5,"winter"
"chic",1987-01-06,130,40,35.125,41.7911943722,5.984261417,6,"winter"
"chic",1987-01-07,129,34.5,26.75,34.791194372,8.243867977,7,"winter"
"chic",1987-01-08,109,29,22,29.791194372,11.447738697,8,"winter"
"chic",1987-01-09,125,26.5,29,33.183891437,3.525928087,9,"winter"
"chic",1987-01-10,153,32.5,27.75,NA,5.037985627,10,"winter"
"chic",1987-01-11,124,29.5,20.125,15.791194376,17.90607203,11,"winter"
"chic",1987-01-12,111,34.5,26,19.791194376,7.989405367,12,"winter"
"chic",1987-01-13,104,34,32.25,46.791194372,6.572738697,13,"winter"
"chic",1987-01-14,118,37.5,36.375,36.7911943722,4.989405367,14,"winter"
"chic",1987-01-15,109,32.5,24.25,27.772321659,4.906072027,15,"winter"
"chic",1987-01-16,125,25,21.5,12.791194376,8.614405367,16,"winter"
"chic",1987-01-17,128,27,24.75,NA,6.239405367,17,"winter"
"chic",1987-01-18,141,17.5,11.125,32.791194372,6.614405367,18,"winter"
"chic",1987-01-19,130,23,15.75,25.791194372,15.984261417,19,"winter"
"chic",1987-01-20,133,20.5,11.5,31.791194372,5.204652287,20,"winter"
"chic",1987-01-21,115,22,20.625,32.823085813,6.624942147,21,"winter"
"chic",1987-01-22,121,19.5,7.375,45.791194372,10.989405367,22,"winter"
"chic",1987-01-23,107,2.5,-12.25,48.791194372,15.69259475,23,"winter"
"chic",1987-01-24,123,2,-5.625,31.791194372,11.359261417,24,"winter"
"chic",1987-01-25,107,9.5,-5.25,NA,7.822738697,25,"winter"
"chic",1987-01-26,116,16,4.75,64.791194372,4.859261417,26,"winter"
"chic",1987-01-27,130,17.5,17.75,37.1532669023,3.781072027,27,"winter"
"chic",1987-01-28,114,29.5,18.25,40.7911943722,6.900928087,28,"winter"
"chic",1987-01-29,123,29.5,32.875,28.791194372,3.550011427,29,"winter"
"chic",1987-01-30,103,32.5,24.125,52.791194372,9.031072027,30,"winter"
"chic",1987-01-31,115,27.5,26.5,29.791194372,8.371318957,31,"winter"
